編號,學名,中文名,中文別名,英文名,英文別名,科,習性
2769,Mikania micrantha,薇甘菊,薇金菊_小花蔓澤蘭(台灣叫法),Mile-a-minute Weed,NoInfo,ASTERACEAE菊科,攀援_草本
2770,Strophanthus divaricatus,羊角拗,羊角藤_羊角樹_羊角捩,NoInfo,NoInfo,APOCYNACEAE夾竹桃科,木質藤本
3019,Nymphaea tetragona,白睡蓮,睡蓮,Pygmy_Water-lily,NoInfo,NYMPHAEACEAE睡蓮科,草本
3026,Clematis meyeniana,毛柱鐵線蓮,甘草藤,Meyen,NoInfo,RANUNCULACEAE毛茛科,攀援_木質藤本
3029,Paederia scandens,雞矢藤_雞屎藤,沒資料,Chinese Fevervine,NoInfo,RUBIACEAE茜草科,攀援
3052,Celosia argentea var. cristata,雞冠花,沒資料,Cockscomb,NoInfo,AMARANTHACEAE莧科,草本
3055,Chrysanthenum paludosum,沼澤菊(香港沒收錄),沒資料,NoInfo,NoInfo,ASTERACEAE菊科,草本
3056,Tulipa,鬱金香,沒資料,NoInfo,NoInfo,LILIACEAE百合科,草本
3057,Oncidium flexuosum,跳舞蘭,文心蘭,NoInfo,NoInfo,ORCHIDACEAE蘭科,草本
3060,Oxalis corniculata L.,酢醬草,黃花酢醬草,Sorrel,NoInfo,OXALIDACEAE酢醬草科,草本
3061,Arachis duranensis,蔓花生,長啄花生_金花生,NoInfo,NoInfo,FABACEAE蝶形花科,匍匐草本
3069,Tibouchina,巴西野牡丹,沒資料,Glory bush,Princess-Flower,MELASTOMATACEAE野牡丹科,灌木
3112,Impatiens hawkeri,新畿內亞鳳仙,沒資料,NoInfo,NoInfo,BALSAMINACEAE鳳仙花科,草本
3122,Xanthostemon chrysanthus,金蒲桃,沒資料,NoInfo,NoInfo,MYRTACEAE桃金娘科,喬木
3162,Plumbago auriculata,藍雪花,沒資料,Blue Plumbago,NoInfo,PLUMBAGINACEAE白花丹科,灌木
3188,Nerium oleander,夾竹桃,沒資料,Common_Oleander,NoInfo,APOCYNACEAE夾竹桃科,灌木
3764,Jatropha integerrima,全緣葉麻瘋樹_日日櫻,全緣葉珊瑚_火漆木(台灣名稱),Peregrina,Integrileaf Jatropha,EUPHORBIACEAE大戟科,0
3813,Desmodium triflorum,三點金,三點金草,Three-flowered Beggarweed,Three-flowered Desmodium,FABACEAE蝶形花科,草本
3987,Tagetes erecta,萬壽菊,沒資料,NoInfo,NoInfo,ASTERACEAE菊科,0
